NUM_LOCATION_KEY,CHV_LOCATION_CODE,NUM_CHANNEL_KEY,CHV_CHANNEL_CODE,NUM_DATE_KEY,DT_TELECAST_DATE,CHV_TELECAST_TIME,NUM_PROGRAM_KEY,CHV_PROGRAM_CODE,NUM_MOVIE_KEY,CHV_MOVIE_CODE,NUM_EPISODENUMBER,NUM_EPISODEDURATION,NUM_COMMDURATION,NUM_PROGTELENO,NUM_CHANNELTELECASTNO,DT_LOAD_DATE,NUM_DFBL_ID_KEY
1,ZAZEE00001,339,ZAMEZ00001,70140728,00:00.0,6:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
1,ZAZEE00001,339,ZAMEZ00001,70140728,00:00.0,9:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
1,ZAZEE00001,339,ZAMEZ00001,70140728,00:00.0,12:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
1,ZAZEE00001,339,ZAMEZ00001,70140728,00:00.0,15:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
1,ZAZEE00001,339,ZAMEZ00001,70140728,00:00.0,18:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
1,ZAZEE00001,339,ZAMEZ00001,70140728,00:00.0,21:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,0:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,3:00:00,13867,15330,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,6:00:00,18928,20394,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,6:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,7:00:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,7:30:00,15500,16963,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,8:00:00,13867,15330,NULL,NULL,NULL,90,1200,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,9:30:00,4353,4983,NULL,NULL,NULL,90,1200,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,11:00:00,13867,15330,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,14:00:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,14:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,15:00:00,18928,20394,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,15:30:00,15500,16963,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,16:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,19:00:00,4353,4983,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,19:30:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,20:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,23:00:00,4353,4983,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140722,00:00.0,23:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
1,ZAZEE00001,339,ZAMEZ00001,70140721,00:00.0,0:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
1,ZAZEE00001,339,ZAMEZ00001,70140721,00:00.0,3:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
1,ZAZEE00001,339,ZAMEZ00001,70140721,00:00.0,6:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
1,ZAZEE00001,339,ZAMEZ00001,70140721,00:00.0,9:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
1,ZAZEE00001,339,ZAMEZ00001,70140721,00:00.0,12:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
1,ZAZEE00001,339,ZAMEZ00001,70140721,00:00.0,15:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
1,ZAZEE00001,339,ZAMEZ00001,70140721,00:00.0,18:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
1,ZAZEE00001,339,ZAMEZ00001,70140721,00:00.0,21:00:00,11535,12990,NULL,NULL,NULL,180,3000,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,0:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,3:00:00,13867,15330,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,6:00:00,18928,20394,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,6:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,7:00:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,7:30:00,15500,16963,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,8:00:00,13867,15330,NULL,NULL,NULL,90,1200,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,9:30:00,4353,4983,NULL,NULL,NULL,90,1200,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,11:00:00,13867,15330,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,14:00:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,14:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,15:00:00,18928,20394,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,15:30:00,15500,16963,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,16:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,19:00:00,4353,4983,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,19:30:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,20:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,23:00:00,4353,4983,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140715,00:00.0,23:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,0:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,3:00:00,13867,15330,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,6:00:00,18928,20394,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,6:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,7:00:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,7:30:00,15500,16963,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,8:00:00,13867,15330,NULL,NULL,NULL,90,1200,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,9:30:00,4353,4983,NULL,NULL,NULL,90,1200,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,11:00:00,13867,15330,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,14:00:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,14:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,15:00:00,18928,20394,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,15:30:00,15500,16963,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,16:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,19:00:00,4353,4983,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,19:30:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,20:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,23:00:00,4353,4983,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140708,00:00.0,23:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,0:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,3:00:00,13867,15330,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,6:00:00,18928,20394,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,6:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,7:00:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,7:30:00,15500,16963,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,8:00:00,13867,15330,NULL,NULL,NULL,90,1200,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,9:30:00,4353,4983,NULL,NULL,NULL,90,1200,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,11:00:00,13867,15330,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,14:00:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,14:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,15:00:00,18928,20394,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,15:30:00,15500,16963,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,16:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,19:00:00,4353,4983,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,19:30:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,20:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,23:00:00,4353,4983,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140701,00:00.0,23:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,0:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,3:00:00,13867,15330,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,6:00:00,18928,20394,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,6:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,7:00:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,7:30:00,15500,16963,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,8:00:00,13867,15330,NULL,NULL,NULL,90,1200,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,9:30:00,4353,4983,NULL,NULL,NULL,90,1200,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,11:00:00,13867,15330,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,14:00:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,14:30:00,13211,14674,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,15:00:00,18928,20394,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,15:30:00,15500,16963,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,16:00:00,11535,12990,NULL,NULL,NULL,180,2400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,19:00:00,4353,4983,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
3,ZAZEE00003,394,ZAZEE00044,70140624,00:00.0,19:30:00,15603,17067,NULL,NULL,NULL,30,400,NULL,NULL,12:03.3,20150109
